State,Population
Alabama,344
Alaska,
Arizona,682
Arkansas,213
California,30016
Colorado,1648
Connecticut,20566
Delaware,1157
District of Columbia,2132
Florida,3385
Georgia,470
Hawaii,
Idaho,400
Illinois,37042
Indiana,2410
Iowa,2123
Kansas,989
Kentucky,684
Louisiana,725
Maine,2126
Maryland,2848
Massachusetts,83172
Michigan,10534
Minnesota,2827
Mississippi,181
Missouri,4241
Montana,2058
Nebraska,1092
Nevada,286
New Hampshire,2553
New Jersey,34532
New Mexico,207
New York,186752
North Carolina,335
North Dakota,439
Ohio,11545
Oklahoma,373
Oregon,2320
Pennsylvania,46385
Rhode Island,8310
South Carolina,221
South Dakota,477
Tennessee,342
Texas,2443
Utah,351
Vermont,645
Virginia,1019
Washington,4062
West Virginia,412
Wisconsin,1887
Wyoming,398